title,content,position
LIBRES DE CULPA ,"Hoy estamos aquí, con una gran misión, que es poder enseñar las obras de su amor, y así construir, ese sueño tan anhelado de Jesús. Mira a tu alrededor, y podrás encontrar, que una vida sin Dios en el desierto está, por eso ven a dar tu corazón para la humanidad. Pues somos 

Libres ya de culpa gracias a la fe, tenemos paz con Dios por medio de Jesús, gozamos la alegría de tener la salvación. Nuestro gran refugio eres tú Señor, la roca que nos protege, nuestro Salvador, eres digno de alabanza escucha nuestra voz. 

Hoy estamos aquí, con una gran misión, que es poder enseñar las obras de su amor, y así construir, ese sueño tan anhelado de Jesús. 

S:  tú nos has llamado 
T:  a tener victoria 
S:  tú nos escogiste 
T:  para darte gloria, tú eres nuestra luz nuestro amanecer 
S:  queremos alabarte 
T:  usa nuestras voces 
S:  darte una ofrenda 
T:  toma nuestras vidas, ser 

Humildemente tus instrumentos de salvación. Uh, uh. 
Libres ya de culpa gracias a la fe, tenemos paz con Dios por medio de Jesús (x2) ¡LIBRES YA DE CULPA! ",41
LO SABES TODO,"Padre amado gracias por amarme así, gracias por tu compasión para mi. También gracias por tu fidelidad, me doy cuenta de todo lo que has hecho por mi. 

Tú me creaste, me has visto crecer, tú me examinas, sabes lo que pienso. Todas mis acciones, aún antes de hablar, tú lo sabes todo no puedo escapar.

Si yo quisiera huir de tu presencia, para esconderme entre las montañas, hasta el viento me recordaría que te encuentras por ahí. O si pensara en esconderme en la oscuridad de la noche, la luna y las estrellas no me ocultarían de ti.

Padre amado gracias por amarme así, gracias por tu compasión para mí. También gracias por tu fidelidad, no merezco que hayas dado a tu hijo por mí. 

Me has libertado, pagaste mi deuda, salvaste mi vida, hoy tengo esperanza. Me has perdonado, me diste la paz, tu Espíritu Santo que me ayuda a luchar. 

Si yo quisiera huir de tu presencia, para esconderme entre las montañas, hasta el viento me recordaría que te encuentras por ahí. O si pensara en esconderme en la oscuridad de la noche, la luna y las estrellas no me ocultarían de ti.",42
LLAMARÉ AL SENOR,"Cantaré al Señor, Quien es digno de loor
Cánticos que llegan al cielo

Coro:
El Señor vive, Bendita sea la Roca
Alabemos todos al Dios de nuestra salvación (2x)

Llamaré al Señor, Quien es digno de honor
Yo Le seguiré alabando

Oraré al Señor, Quien es digno de loor
Me protege del enemigo

Coro",43
LLÉNAME,"Como un siervo busca por las aguas así clama mi alma, por ti señor. Día y noche, yo tengo sed de ti y solo a ti, buscaré 

Lléname, lléname Señor, dame más, más de tu amor yo tengo sed, sólo de ti: Lléname Señor. ",44
MI DIOS,"Mi Dios, Ya nos dio (x3)
Nos dio su gran amor

Nos dio la iglesia…..
Hermanos, Hermanas,
Santiago, Chile….",45
MI ETERNA LUZ ,"Mi eterna luz, voy a dejarla brillar, mi eterna luz, voy a dejarla brillar, mi eterna luz, voy a dejarla brillar. Brillar, brillar, brillar, oh sí. 

Cuando estoy orando, voy a dejarla brillar (x3) brillar. Brillar, brillar, brillar, oh sí. 

Mi eterna luz, voy a dejarla brillar, mi eterna.... 

Cuando estoy compartiendo /cantando / sirviendo. ",46
MI FE ESTA PUESTA EN TI,"Mi fe está puesta en ti, por eso vine aquí, pues puedo ver la luz y la verdad también. Mi fe está puesta en ti, por eso vine aquí, pues puedo ver la luz y la verdad también, pues puedo orar a Dios, Y hacer mil esfuerzos pero lo que yo he de ver al final. 

Es que en realidad, es que en realidad, todo lo bueno que hay, en mi caminar es por Cristo. X2. 

Mi fe está puesta en ti, pues en la oscuridad, la más preciosa luz es la que tú me das. Mi fe está puesta en ti, y no en lo terrenal. Pues puedo ver la luz y la verdad también, pues puedo orar a Dios Y hacer mil esfuerzos pero lo que yo he de ver al final. 

Es que en realidad... ",47
NADIE MÁS QUE TÚ,"Nadie más que tú, ha llegado hasta el fondo de mi alma, nadie más que tú, ha cambiado todo mi corazón. 
Nadie más que tú, ha sabido perdonarme, nadie más que tú me ha amado tanto hasta dar su vida por mí.

Sentí que alguien me llamaba, sentí una voz detrás de mí, mientras mi vida se extraviaba, ella insistía ve por aquí. Fue entonces cuando de la mano, me rescataste de una vez, y desde ahí en adelante la luz del sol yo pude ver. 

Ahora quiero que tus ojos, siempre me miren con bondad, que caminemos siempre juntos y al mundo entero liberar. No consideres mis errores, tampoco mi debilidad te necesito siempre cerca, para con tus fuerzas luchar. 

Nadie más que tú, ha llegado hasta el fondo de mi alma, nadie más que tú, ha cambiado todo mi corazón.
 
Nadie más que tú, ha sabido perdonarme, nadie más que tú me ha amado tanto hasta dar su vida por mí. 

Nadie más que tú, nadie más que tú Nadie más que tú, dio su vida por mí. ",48
NECESITAS A DIOS,"Por qué dudar, por qué negar, por qué no estar en paz con tu corazón.
 Por qué vivir en la esclavitud, ya es tiempo de dar algo nuevo a tu vida que te lleve a la luz. 

Vuelve tu mirada hacia Dios, comienza a conocer su amor déjate llevar por su espíritu de libertad. 

Conoce a Jesús, vive en su luz y su verdad, ellas te enseñarán el camino que lleva a su altar. Mira a Jesús, vive la Cruz busca con ansia imitar su ejemplo de santidad. 

Vuelve tu mirada hacia Dios........ Conoce a Jesús, vive en su luz..... 

No dudes más, no, oh, oh, oh. No niegues más, reconoce con gran humildad, vuélvete a Dios. Uh, uh, uh, uh, uh, Reconoce con gran humildad: 

¡NECESITAS A DIOS! 
",49
NECESITO MÁS DE TU AMOR,"Necesito más de tu amor mi Dios
Necesito más de tu luz y tu calor
Lejos de mi hogar sin luz sin amor
Si contigo voy nunca solo estaré

Coro:
Como un árbol cerca de un manantial
Sediento de tu amor
No puedo estar un día sin orar
Solo quiero más de tu amor

Soy pequeño aún pero con tu amor
No me cansare porque grande es tu poder
Y aunque débil soy todo podre hacer
Si estas junto a mí la batalla ganare

Coro

Diste todo y yo muy mal te pague
En la cruenta cruz tú moriste en mi lugar
Como puedo yo tanto amor pagar
Lo único mi Dios es que viva por tu amor

Coro

",50
OH DIOS SEÑOR,"Oh Dios Señor te alabamos por ser nuestro creador (2x)
Oh Dios, qué grande es Tu nombre (2x)
Poderoso y Fiel, oh Dios maravilloso",51
PADRE TE ADORO,"Padre te adoro, quiero darte mi todo, cuanto te amo…
Cristo te adoro…
Espíritu te adoro…",52
